Trial:213 | ACC:74.51
Trial:214 | ACC:80.39
Trial:215 | ACC:76.47
Trial:216 | ACC:82.35
Trial:217 | ACC:76.47
Trial:218 | ACC:78.43
Trial:219 | ACC:76.47
Trial:220 | ACC:78.43
Trial:221 | ACC:92.16
Trial:222 | ACC:76.47
Trial:223 | ACC:74.51
Trial:224 | ACC:82.35
Trial:225 | ACC:78.43
Trial:226 | ACC:80.39
Trial:227 | ACC:74.51
Trial:228 | ACC:74.51
Trial:229 | ACC:78.43
Trial:230 | ACC:82.35
Trial:231 | ACC:88.24
Trial:232 | ACC:76.47
Trial:233 | ACC:76.47
Trial:234 | ACC:84.31
Trial:235 | ACC:78.43
Trial:236 | ACC:82.35
Trial:237 | ACC:76.47
Trial:238 | ACC:74.51
Trial:239 | ACC:80.39
Trial:240 | ACC:80.39
Trial:241 | ACC:88.24
Trial:242 | ACC:74.51
Trial:243 | ACC:78.43
Trial:244 | ACC:76.47
Trial:245 | ACC:76.47
Trial:246 | ACC:80.39
Trial:247 | ACC:76.47
Trial:248 | ACC:72.55
Trial:249 | ACC:76.47
Trial:250 | ACC:80.39
Trial:251 | ACC:90.20
Trial:252 | ACC:78.43
Trial:253 | ACC:72.55
Trial:254 | ACC:84.31
Trial:255 | ACC:76.47
Trial:256 | ACC:84.31
Trial:257 | ACC:78.43
Trial:258 | ACC:70.59
Trial:259 | ACC:76.47
Trial:260 | ACC:80.39
Trial:261 | ACC:90.20
Trial:262 | ACC:78.43
Trial:263 | ACC:78.43
Trial:264 | ACC:82.35
Trial:265 | ACC:78.43
Trial:266 | ACC:80.39
Trial:267 | ACC:74.51
Trial:268 | ACC:74.51
Trial:269 | ACC:76.47
Trial:270 | ACC:84.31
Trial:271 | ACC:90.20
Trial:272 | ACC:76.47
Trial:273 | ACC:74.51
Trial:274 | ACC:84.31
Trial:275 | ACC:76.47
Trial:276 | ACC:84.31
Trial:277 | ACC:74.51
Trial:278 | ACC:78.43
Trial:279 | ACC:78.43
Trial:280 | ACC:84.31
Trial:281 | ACC:90.20
Trial:282 | ACC:80.39
Trial:283 | ACC:76.47
Trial:284 | ACC:80.39
Trial:285 | ACC:76.47
Trial:286 | ACC:80.39
Trial:287 | ACC:76.47
Trial:288 | ACC:78.43
Trial:289 | ACC:76.47
Trial:290 | ACC:80.39
Trial:291 | ACC:90.20
Trial:292 | ACC:78.43
Trial:293 | ACC:80.39
Trial:294 | ACC:78.43
Trial:295 | ACC:80.39
Trial:296 | ACC:82.35
Trial:297 | ACC:78.43
Trial:298 | ACC:74.51
Trial:299 | ACC:80.39
Trial:300 | ACC:82.35
Trial:301 | ACC:88.24
Trial:302 | ACC:80.39
Trial:303 | ACC:78.43
Trial:304 | ACC:82.35
Trial:305 | ACC:82.35
Trial:306 | ACC:82.35
Trial:307 | ACC:80.39
Trial:308 | ACC:72.55
Trial:309 | ACC:76.47
Trial:310 | ACC:80.39
Trial:311 | ACC:90.20
Trial:312 | ACC:78.43
Trial:313 | ACC:78.43
Trial:314 | ACC:78.43
Trial:315 | ACC:78.43
Trial:316 | ACC:82.35
Trial:317 | ACC:72.55
Trial:318 | ACC:70.59
Trial:319 | ACC:74.51
Trial:320 | ACC:80.39
Trial:321 | ACC:90.20
Trial:322 | ACC:78.43
Trial:323 | ACC:78.43
Trial:324 | ACC:82.35
Trial:325 | ACC:76.47
Trial:326 | ACC:86.27
Trial:327 | ACC:78.43
Trial:328 | ACC:78.43
Trial:329 | ACC:76.47
Trial:330 | ACC:82.35
Trial:331 | ACC:90.20
Trial:332 | ACC:76.47
Trial:333 | ACC:74.51
Trial:334 | ACC:82.35
Trial:335 | ACC:78.43
Trial:336 | ACC:80.39
Trial:337 | ACC:76.47
Trial:338 | ACC:76.47
Trial:339 | ACC:78.43
Trial:340 | ACC:80.39
Trial:341 | ACC:88.24
Trial:342 | ACC:78.43
Trial:343 | ACC:82.35
Trial:344 | ACC:82.35
Trial:345 | ACC:78.43
Trial:346 | ACC:82.35
Trial:347 | ACC:72.55
Trial:348 | ACC:74.51
Trial:349 | ACC:78.43
Trial:350 | ACC:76.47
Trial:351 | ACC:90.20
Trial:352 | ACC:76.47
Trial:353 | ACC:76.47
Trial:354 | ACC:78.43
Trial:355 | ACC:76.47
Trial:356 | ACC:82.35
Trial:357 | ACC:76.47
Trial:358 | ACC:76.47
Trial:359 | ACC:80.39
Trial:360 | ACC:82.35
Trial:361 | ACC:88.24
Trial:362 | ACC:72.55
Trial:363 | ACC:78.43
Trial:364 | ACC:80.39
Trial:365 | ACC:80.39
Trial:366 | ACC:80.39
Trial:367 | ACC:74.51
Trial:368 | ACC:76.47
Trial:369 | ACC:74.51
Trial:370 | ACC:80.39
Trial:371 | ACC:88.24
Trial:372 | ACC:72.55
Trial:373 | ACC:76.47
Trial:374 | ACC:80.39
Trial:375 | ACC:76.47
Trial:376 | ACC:82.35
Trial:377 | ACC:74.51
Trial:378 | ACC:78.43
Trial:379 | ACC:80.39
Trial:380 | ACC:80.39
Trial:381 | ACC:90.20
Trial:382 | ACC:76.47
Trial:383 | ACC:80.39
Trial:384 | ACC:82.35
Trial:385 | ACC:80.39
Trial:386 | ACC:82.35
Trial:387 | ACC:74.51
Trial:388 | ACC:72.55
Trial:389 | ACC:76.47
Trial:390 | ACC:76.47
Trial:391 | ACC:92.16
Trial:392 | ACC:74.51
Trial:393 | ACC:80.39
Trial:394 | ACC:80.39
Trial:395 | ACC:78.43
Trial:396 | ACC:82.35
Trial:397 | ACC:74.51
Trial:398 | ACC:80.39
Trial:399 | ACC:76.47
[70.59, 70.59, 70.59, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 72.55, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 74.51, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 76.47, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 78.43, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 80.39, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 82.35, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 86.27, 86.27, 86.27, 86.27, 86.27, 86.27, 86.27, 88.24, 88.24, 88.24, 88.24, 88.24, 88.24, 88.24, 88.24, 88.24, 88.24, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 92.16, 92.16, 92.16]

[84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 84.31, 86.27, 86.27, 86.27, 86.27, 86.27, 86.27, 86.27, 88.24, 88.24, 88.24, 88.24, 88.24, 88.24, 88.24, 88.24, 88.24, 88.24, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 90.2, 92.16, 92.16, 92.16]
